,file,only_download,direction,throughput_up,throughput_down,lat,long,mcs_up,mcs_down,rsrp0,rsrp1,rsrp2,rsrp3,rsrp4,rsrp5,rsrp6,rsrp7,beam_id0,beam_id1,beam_id2,beam_id3,beam_id4,beam_id5,beam_id6,beam_id7,selected_beam
25,20 Oct with GPS/23Oct20 170308.1.csv,False,N,83.2,1.3,45.477345,9.23482,13.0,2.0,-91.0,-107.1,-102.7,-78.1,-87.9,0,0,0,12,13,13,18,19,0,0,0, 18
26,20 Oct with GPS/23Oct20 170308.1.csv,False,N,83.1,1.4,45.477345,9.234821,13.0,2.0,-89.9,-96.7,-78.6,-87.8,0,0,0,0,12,13,18,19,0,0,0,0, 18
27,20 Oct with GPS/23Oct20 170308.1.csv,False,N,80.4,1.5,45.477345,9.234823,13.0,2.0,-90.5,-95.8,-78.7,-87.9,0,0,0,0,12,13,18,19,0,0,0,0, 18
28,20 Oct with GPS/23Oct20 170308.1.csv,False,N,80.2,1.4,45.477345,9.234823,13.0,2.0,-89.7,-95.8,-78.7,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
29,20 Oct with GPS/23Oct20 170308.1.csv,False,N,79.2,1.5,45.477345,9.234823,13.0,2.0,-89.1,-95.7,-78.8,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
30,20 Oct with GPS/23Oct20 170308.1.csv,False,N,77.9,1.1,45.477345,9.234823,13.0,2.0,-90.6,-95.5,-78.6,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
31,20 Oct with GPS/23Oct20 170308.1.csv,False,N,77.7,1.4,45.477341,9.234821,12.0,2.0,-90.1,-95.3,-78.6,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
32,20 Oct with GPS/23Oct20 170308.1.csv,False,N,77.9,1.4,45.477341,9.234817,12.0,2.0,-89.1,-95.3,-78.6,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
33,20 Oct with GPS/23Oct20 170308.1.csv,False,N,76.5,1.3,45.477341,9.234821,12.0,2.0,-89.5,-95.3,-78.6,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
34,20 Oct with GPS/23Oct20 170308.1.csv,False,N,76.5,0.9,45.477341,9.234821,12.0,0.0,-90.0,-95.4,-78.6,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
35,20 Oct with GPS/23Oct20 170308.1.csv,False,N,78.5,1.3,45.477341,9.234815,13.0,2.0,-90.7,-95.5,-78.6,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
36,20 Oct with GPS/23Oct20 170308.1.csv,False,N,82.0,1.4,45.477341,9.234814,13.0,2.0,-91.3,-95.7,-78.5,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
37,20 Oct with GPS/23Oct20 170308.1.csv,False,E,10.1,388.8,45.477341,9.234814,21.0,20.0,-104.1,-102.2,-107.0,-78.8,0,0,0,0,11,12,13,18,0,0,0,0, 18
38,20 Oct with GPS/23Oct20 170308.1.csv,False,E,15.4,859.2,45.477341,9.234815,21.0,20.0,-104.5,-104.5,-102.0,-102.0,-106.2,-105.8,-79.1,0,11,11,12,12,13,13,18,0, 18
39,20 Oct with GPS/23Oct20 170308.1.csv,False,E,15.0,967.4,45.477341,9.234817,21.0,20.0,-100.6,-102.4,-103.8,-79.5,-114.8,-112.1,0,0,11,12,13,18,19,19,0,0, 18
40,20 Oct with GPS/23Oct20 170308.1.csv,False,E,15.1,951.0,45.477341,9.234817,22.0,20.0,-100.0,-101.9,-79.5,-102.5,0,0,0,0,11,12,18,19,0,0,0,0, 18
41,20 Oct with GPS/23Oct20 170308.1.csv,False,E,15.5,956.9,45.477341,9.234815,22.0,20.0,-100.1,-101.9,-79.5,-100.8,0,0,0,0,11,12,18,19,0,0,0,0, 18
42,20 Oct with GPS/23Oct20 170308.1.csv,False,E,15.4,952.7,45.477341,9.234814,21.0,20.0,-100.9,-101.6,-107.4,-79.4,-112.8,0,0,0,11,12,13,18,19,0,0,0, 18
43,20 Oct with GPS/23Oct20 170308.1.csv,False,E,16.0,933.4,45.477345,9.234812,22.0,20.0,-100.2,-102.5,-79.4,-103.2,0,0,0,0,11,12,18,19,0,0,0,0, 18
44,20 Oct with GPS/23Oct20 170308.1.csv,False,E,15.7,944.6,45.477345,9.234812,22.0,20.0,-101.2,-102.4,-102.4,-79.5,-101.0,0,0,0,11,12,12,18,19,0,0,0, 18
45,20 Oct with GPS/23Oct20 170308.1.csv,False,E,16.8,941.3,45.477345,9.234812,22.0,20.0,-101.1,-102.2,-102.2,-79.4,-100.4,0,0,0,11,12,12,18,19,0,0,0, 18
46,20 Oct with GPS/23Oct20 170308.1.csv,False,E,16.7,949.8,45.477345,9.234812,23.0,20.0,-101.0,-100.9,-79.5,-100.2,0,0,0,0,11,12,18,19,0,0,0,0, 18
47,20 Oct with GPS/23Oct20 170308.1.csv,False,E,14.7,946.5,45.477348,9.234812,22.0,20.0,-101.1,-101.4,-79.5,-100.0,0,0,0,0,11,12,18,19,0,0,0,0, 18
48,20 Oct with GPS/23Oct20 170308.1.csv,False,E,14.9,949.3,45.477348,9.234812,22.0,20.0,-100.4,-102.0,-79.5,-99.8,0,0,0,0,11,12,18,19,0,0,0,0, 18
49,20 Oct with GPS/23Oct20 170308.1.csv,False,E,15.5,921.6,45.477348,9.234812,22.0,20.0,-100.3,-101.5,-79.4,-99.9,0,0,0,0,11,12,18,19,0,0,0,0, 18
50,20 Oct with GPS/23Oct20 170308.1.csv,False,E,14.9,938.3,45.477348,9.234812,22.0,21.0,-101.3,-102.1,-79.5,-99.7,0,0,0,0,11,12,18,19,0,0,0,0, 18
51,20 Oct with GPS/23Oct20 170308.1.csv,False,E,15.2,922.2,45.477348,9.23481,22.0,20.0,-100.8,-102.2,-79.5,-99.8,0,0,0,0,11,12,18,19,0,0,0,0, 18
52,20 Oct with GPS/23Oct20 170308.1.csv,False,E,15.1,934.6,45.477348,9.234812,22.0,20.0,-100.1,-102.4,-79.4,-100.0,0,0,0,0,11,12,18,19,0,0,0,0, 18
53,20 Oct with GPS/23Oct20 170308.1.csv,False,E,13.8,946.9,45.477348,9.234812,21.0,20.0,-100.5,-101.5,-79.5,-100.0,0,0,0,0,11,12,18,19,0,0,0,0, 18
54,20 Oct with GPS/23Oct20 170308.1.csv,False,E,13.6,640.3,45.477348,9.234812,22.0,20.0,-99.8,-101.9,-79.5,-100.2,0,0,0,0,11,12,18,19,0,0,0,0, 18
55,20 Oct with GPS/23Oct20 170308.1.csv,False,E,88.0,1.9,45.477352,9.234815,16.0,3.0,-99.7,-101.6,-78.6,-99.1,0,0,0,0,11,12,18,19,0,0,0,0, 18
56,20 Oct with GPS/23Oct20 170308.1.csv,False,E,88.5,1.4,45.477352,9.234817,16.0,3.0,-101.3,-102.2,-78.8,-99.1,0,0,0,0,11,12,18,19,0,0,0,0, 18
57,20 Oct with GPS/23Oct20 170308.1.csv,False,E,88.6,1.4,45.477352,9.234818,16.0,3.0,-101.9,-102.6,-78.7,-98.8,0,0,0,0,11,12,18,19,0,0,0,0, 18
58,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.4,1.8,45.477352,9.23482,16.0,3.0,-101.6,-101.5,-78.8,-99.0,0,0,0,0,11,12,18,19,0,0,0,0, 18
59,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.4,1.5,45.477352,9.23482,16.0,3.0,-100.9,-100.5,-78.7,-98.7,0,0,0,0,11,12,18,19,0,0,0,0, 18
60,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.3,1.6,45.477352,9.234821,16.0,3.0,-99.5,-100.4,-78.7,-98.9,0,0,0,0,11,12,18,19,0,0,0,0, 18
61,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.3,1.5,45.477352,9.234823,16.0,3.0,-100.7,-100.8,-78.7,-99.6,0,0,0,0,11,12,18,19,0,0,0,0, 18
62,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.4,1.6,45.477356,9.234823,16.0,3.0,-101.2,-101.0,-78.7,-99.1,0,0,0,0,11,12,18,19,0,0,0,0, 18
63,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.2,1.6,45.477356,9.234823,16.0,3.0,-100.1,-100.7,-100.4,-78.7,-99.7,0,0,0,11,12,12,18,19,0,0,0, 18
64,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.4,1.6,45.477356,9.234823,16.0,3.0,-99.6,-100.1,-78.7,-99.5,0,0,0,0,11,12,18,19,0,0,0,0, 18
65,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.3,1.8,45.477356,9.234823,16.0,3.0,-98.9,-99.8,-78.7,-99.4,0,0,0,0,11,12,18,19,0,0,0,0, 18
66,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.3,1.8,45.477356,9.234825,16.0,3.0,-99.6,-100.4,-78.7,-99.5,0,0,0,0,11,12,18,19,0,0,0,0, 18
67,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.4,1.5,45.47736,9.234825,16.0,3.0,-99.8,-100.3,-78.8,-99.0,0,0,0,0,11,12,18,19,0,0,0,0, 18
68,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.4,1.3,45.47736,9.234825,16.0,1.0,-99.9,-99.9,-78.7,-99.2,0,0,0,0,11,12,18,19,0,0,0,0, 18
69,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.3,1.4,45.47736,9.234825,16.0,1.0,-99.5,-99.3,-78.6,-99.6,0,0,0,0,11,12,18,19,0,0,0,0, 18
70,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.4,1.5,45.47736,9.234821,16.0,3.0,-99.2,-99.7,-78.6,-99.4,0,0,0,0,11,12,18,19,0,0,0,0, 18
71,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.4,1.6,45.47736,9.234821,16.0,3.0,-98.6,-98.6,-99.4,-78.5,-99.6,0,0,0,11,11,12,18,19,0,0,0, 18
72,20 Oct with GPS/23Oct20 170308.1.csv,False,E,116.4,1.5,45.477364,9.23482,16.0,3.0,-98.6,-100.2,-78.5,-100.1,0,0,0,0,11,12,18,19,0,0,0,0, 18
73,20 Oct with GPS/23Oct20 170308.1.csv,False,S,15.8,500.0,45.477367,9.234817,22.0,12.0,-95.0,-88.1,-91.8,-86.1,0,0,0,0,11,12,13,18,0,0,0,0, 12
74,20 Oct with GPS/23Oct20 170308.1.csv,False,S,16.5,513.1,45.477367,9.234817,23.0,12.0,-94.8,-88.1,-91.5,-85.3,0,0,0,0,11,12,13,18,0,0,0,0, 12
75,20 Oct with GPS/23Oct20 170308.1.csv,False,S,15.2,526.0,45.477364,9.234818,21.0,12.0,-93.7,-87.6,-91.5,-85.4,0,0,0,0,11,12,13,18,0,0,0,0, 12
76,20 Oct with GPS/23Oct20 170308.1.csv,False,S,16.2,520.2,45.477364,9.234818,23.0,12.0,-94.6,-87.2,-91.6,-85.1,0,0,0,0,11,12,13,18,0,0,0,0, 12
77,20 Oct with GPS/23Oct20 170308.1.csv,False,S,15.6,532.8,45.477364,9.234818,22.0,12.0,-94.4,-86.9,-91.2,-84.8,0,0,0,0,11,12,13,18,0,0,0,0, 12
78,20 Oct with GPS/23Oct20 170308.1.csv,False,S,17.3,541.0,45.477364,9.234818,24.0,12.0,-94.0,-86.7,-91.4,-84.9,0,0,0,0,11,12,13,18,0,0,0,0, 12
79,20 Oct with GPS/23Oct20 170308.1.csv,False,S,15.7,554.0,45.477364,9.234818,22.0,13.0,-95.8,-87.1,-91.2,-85.1,0,0,0,0,11,12,13,18,0,0,0,0, 12
80,20 Oct with GPS/23Oct20 170308.1.csv,False,S,15.2,516.7,45.477364,9.23482,23.0,15.0,-96.0,-87.9,-91.2,-84.8,0,0,0,0,11,12,13,18,0,0,0,0, 18
81,20 Oct with GPS/23Oct20 170308.1.csv,False,S,15.7,673.9,45.477364,9.23482,23.0,15.0,-95.5,-87.6,-90.6,-84.4,0,0,0,0,11,12,13,18,0,0,0,0, 18
82,20 Oct with GPS/23Oct20 170308.1.csv,False,S,16.6,680.5,45.477364,9.23482,23.0,15.0,-94.3,-87.8,-90.9,-84.1,0,0,0,0,11,12,13,18,0,0,0,0, 18
83,20 Oct with GPS/23Oct20 170308.1.csv,False,S,14.5,685.1,45.47736,9.23482,21.0,15.0,-94.4,-87.8,-91.2,-84.2,0,0,0,0,11,12,13,18,0,0,0,0, 18
84,20 Oct with GPS/23Oct20 170308.1.csv,False,S,16.9,685.6,45.47736,9.23482,23.0,15.0,-95.8,-87.5,-91.2,-84.5,0,0,0,0,11,12,13,18,0,0,0,0, 18
85,20 Oct with GPS/23Oct20 170308.1.csv,False,S,15.3,671.5,45.47736,9.234821,23.0,15.0,-95.8,-87.5,-91.1,-84.4,0,0,0,0,11,12,13,18,0,0,0,0, 18
86,20 Oct with GPS/23Oct20 170308.1.csv,False,S,16.8,678.3,45.47736,9.234823,23.0,15.0,-94.9,-87.0,-91.3,-84.0,0,0,0,0,11,12,13,18,0,0,0,0, 18
87,20 Oct with GPS/23Oct20 170308.1.csv,False,S,15.6,671.7,45.47736,9.234823,23.0,15.0,-95.7,-87.1,-91.0,-84.5,0,0,0,0,11,12,13,18,0,0,0,0, 18
88,20 Oct with GPS/23Oct20 170308.1.csv,False,S,16.4,674.6,45.477356,9.234823,23.0,15.0,-95.4,-87.4,-91.0,-84.5,0,0,0,0,11,12,13,18,0,0,0,0, 18
89,20 Oct with GPS/23Oct20 170308.1.csv,False,S,14.4,680.7,45.477356,9.234823,22.0,15.0,-95.3,-87.5,-90.8,-84.1,0,0,0,0,11,12,13,18,0,0,0,0, 18
90,20 Oct with GPS/23Oct20 170308.1.csv,False,S,64.8,1.1,45.477356,9.234823,13.0,2.0,-94.4,-87.0,-90.4,-84.0,0,0,0,0,11,12,13,18,0,0,0,0, 18
91,20 Oct with GPS/23Oct20 170308.1.csv,False,S,65.6,1.0,45.477352,9.234823,13.0,0.0,-94.6,-86.9,-90.2,-84.0,0,0,0,0,11,12,13,18,0,0,0,0, 18
92,20 Oct with GPS/23Oct20 170308.1.csv,False,S,65.7,1.1,45.477352,9.234823,13.0,2.0,-94.4,-87.1,-89.8,-84.1,0,0,0,0,11,12,13,18,0,0,0,0, 18
93,20 Oct with GPS/23Oct20 170308.1.csv,False,S,67.3,1.7,45.477352,9.234823,13.0,4.0,-93.0,-86.5,-89.7,-84.3,0,0,0,0,11,12,13,18,0,0,0,0, 18
94,20 Oct with GPS/23Oct20 170308.1.csv,False,S,70.4,1.4,45.477348,9.234825,13.0,2.0,-92.9,-86.7,-90.7,-84.7,0,0,0,0,11,12,13,18,0,0,0,0, 18
95,20 Oct with GPS/23Oct20 170308.1.csv,False,S,79.2,1.2,45.477348,9.234825,13.0,2.0,-93.5,-86.9,-91.7,-84.8,0,0,0,0,11,12,13,18,0,0,0,0, 18
96,20 Oct with GPS/23Oct20 170308.1.csv,False,S,80.2,1.2,45.477348,9.234825,13.0,2.0,-93.3,-86.9,-91.2,-84.6,0,0,0,0,11,12,13,18,0,0,0,0, 18
97,20 Oct with GPS/23Oct20 170308.1.csv,False,S,82.1,1.2,45.477348,9.234825,13.0,2.0,-92.8,-86.7,-91.6,-84.7,0,0,0,0,11,12,13,18,0,0,0,0, 18
