id,direction,lat,long,avg_throughput_up,variance_throughput_up,avg_throughput_down,variance_throughput_down,avg_highest_rsrp,variance_highest_rsrp,avg_mcs_up,variance_mcs_up,avg_mcs_down,variance_mcs_down,most_freq_beam
17,E,45.477573,9.234292,237.68888888888893,642.6222222222221,1105.561111111111,55382.46722222222,-72.03888888888889,0.27044444444444377,28.0,0.0,24.833333333333332,5.088235294117647,18
18,S,45.477573,9.234292,186.9421052631579,1602.1125730994154,1050.4176470588236,2546.5290441176467,-74.42500000000001,0.24135714285714238,24.263157894736842,1.0935672514619883,22.176470588235293,0.5294117647058824,18
19,W,45.477573,9.234292,235.17333333333337,720.4220952380958,1239.2941176470586,4266.759338235295,-59.553125,0.054828629032258235,28.0,0.0,27.0,0.0,18
20,N,45.478558,9.234047,21.7,,656.3058823529411,51371.1793382353,-89.56666666666666,2.1917647058823517,7.0,,15.647058823529411,9.24264705882353,28
21,E,45.478558,9.234047,77.77777777777777,2025.178300653595,482.97058823529414,128.910955882353,-83.27142857142856,0.20210084033613518,12.5,32.029411764705884,18.176470588235293,0.15441176470588236,26
22,S,45.478558,9.234047,99.9388888888889,213.666045751634,283.77500000000003,15448.831136363633,-84.91666666666667,0.8214367816091959,15.722222222222221,1.388888888888889,12.0,21.818181818181817,11
23,W,45.478558,9.234047,48.06875,55.523625,448.28235294117655,175.1265441176471,-77.07272727272728,0.02704545454545407,9.9375,1.5291666666666666,10.117647058823529,0.11029411764705882,26
24,N,45.478489,9.23451,,,144.7611111111111,1112.6731045751635,-86.73333333333332,477.91294117647055,,,10.722222222222221,17.624183006535947,26
25,E,45.478489,9.23451,,,295.36470588235295,316.1549264705881,-84.86470588235294,0.5074264705882328,,,11.941176470588236,0.0588235294117647,26
26,S,45.478489,9.23451,,,175.3777777777778,623.9771241830066,-86.73333333333332,3.212941176470591,,,13.666666666666666,0.5882352941176471,20
27,W,45.478489,9.23451,,,478.59333333333336,1445.6778095238092,-77.24666666666668,0.19266666666666707,,,18.266666666666666,0.20952380952380953,26
28,N,45.477512,9.234531,238.49444444444447,570.2770261437909,1226.858823529412,29232.96132352941,-61.574285714285715,0.112554621848739,28.0,0.0,27.0,0.0,18
29,E,45.477512,9.234531,120.6263157894737,422.2431578947368,755.0166666666668,32105.39911764706,-71.43783783783783,1.506306306306306,18.789473684210527,0.5087719298245614,17.72222222222222,2.683006535947712,18
30,S,45.477512,9.234531,111.72222222222223,55.09359477124184,1037.6666666666667,20351.095294117647,-71.57222222222224,3.408920634920636,16.944444444444443,3.3496732026143796,22.666666666666668,2.588235294117647,18
31,W,45.477512,9.234531,228.025,1957.4966666666674,1156.6833333333334,105696.3155882353,-59.28823529411765,0.008342245989304648,28.0,0.0,26.72222222222222,0.9183006535947713,18
32,N,45.47599,9.235717,,,289.3588235294118,3043.710073529411,-100.37058823529411,1.258455882352943,,,16.941176470588236,19.30882352941176,13
33,E,45.47599,9.235717,,,276.46875,9924.10095833333,-99.525,1.4566666666666663,,,13.4375,19.729166666666668,18
34,S,45.47599,9.235717,,,244.10833333333335,5518.449924242424,-99.83333333333333,2.4369696969696935,,,12.083333333333334,19.53787878787879,13
35,W,45.47599,9.235717,,,407.65999999999997,6090.828285714285,-96.3,1.3942857142857188,,,16.333333333333332,3.38095238095238,13
36,N,45.476002,9.233863,,,132.30909090909088,2670.206909090909,-102.5909090909091,2.758909090909092,,,8.636363636363637,22.054545454545455,5
37,E,45.476002,9.233863,,,350.8058823529412,4667.021838235293,-98.02352941176471,0.43816176470588325,,,13.588235294117647,4.382352941176471,13
38,S,45.476002,9.233863,,,271.72727272727275,2226.3241818181823,-100.1,1.2779999999999991,,,11.727272727272727,0.41818181818181815,12
39,W,45.476002,9.233863,,,306.2133333333333,84.83123809523815,-96.6,0.03285714285714318,,,12.0,0.0,13
40,N,45.47683,9.232179,120.46666666666664,133.0705882352941,348.6333333333333,4114.905882352941,-81.45277777777775,0.713992063492063,18.333333333333332,0.23529411764705882,20.0,1.8823529411764706,4
41,E,45.47683,9.232179,143.91666666666666,141.24029411764707,355.9235294117647,670.309411764706,-74.09714285714286,344.11322689075627,21.0,1.0588235294117647,18.235294117647058,11.441176470588234,4
42,S,45.47683,9.232179,181.5611111111111,717.281339869281,359.25294117647053,684.3663970588235,-75.77142857142857,0.0915126050420168,23.5,1.7941176470588236,22.176470588235293,0.40441176470588236,4
43,W,45.47683,9.232179,67.74375,85.238625,348.4352941176471,1125.4024264705881,-85.10000000000001,0.39437499999999964,11.875,0.25,12.117647058823529,0.48529411764705876,4
44,N,45.476875,9.231502,73.98333333333333,29.742647058823533,350.8166666666667,1748.8261764705883,-80.7111111111111,0.8375873015873033,12.666666666666666,0.23529411764705882,21.22222222222222,0.18300653594771243,3
45,E,45.476875,9.231502,74.08421052631579,210.672514619883,353.07222222222225,2277.615065359477,-87.66756756756754,1.2194744744744745,13.473684210526315,4.707602339181287,20.11111111111111,1.1633986928104576,3
46,S,45.476875,9.231502,88.96111111111111,208.48251633986925,346.90000000000003,6569.2235294117645,-87.04166666666667,0.6807857142857145,14.0,4.705882352941177,15.5,0.2647058823529412,3
47,W,45.476875,9.231502,,,233.85,152.6026666666667,-97.2875,0.15049999999999938,,,17.375,1.7166666666666666,2
48,N,45.476875,9.23319,237.23333333333332,625.7047058823528,1249.6941176470589,3233.6280882352926,-60.265714285714274,0.039378151260504216,28.0,0.0,27.0,0.0,10
49,E,45.476875,9.23319,178.0333333333333,338.0658823529411,876.4941176470588,19170.444338235295,-75.30285714285715,0.3344033613445378,23.11111111111111,0.1045751633986928,19.88235294117647,0.7352941176470589,10
50,S,45.476875,9.23319,194.6,1600.6355555555556,1064.3833333333334,31752.403823529417,-73.82972972972973,0.2788138138138145,24.842105263157894,1.4736842105263157,23.77777777777778,2.1830065359477118,10
51,W,45.476875,9.23319,182.47500000000002,686.6553333333333,835.5235294117648,26987.5381617647,-75.85757575757575,0.8918939393939394,23.75,2.066666666666667,18.941176470588236,0.9338235294117647,10
52,N,45.47747,9.234562,234.46666666666664,1073.5470588235296,950.6000000000001,160620.84470588237,-73.31111111111112,158.94673015873016,28.0,0.0,26.38888888888889,0.25163398692810457,18
53,E,45.47747,9.234562,57.421052631578945,69.84953216374268,492.4944444444444,10409.29820261438,-90.41891891891892,1.3565765765765765,10.631578947368421,0.24561403508771937,15.0,14.705882352941176,18
54,S,45.47747,9.234562,133.6,855.3388888888888,960.5999999999999,31912.70823529412,-76.2189189189189,0.05546546546546523,20.473684210526315,1.9298245614035083,22.0,0.0,18
55,W,45.47747,9.234562,217.55625,1169.5426249999998,1114.211111111111,123204.87869281048,-77.83529411764707,0.25144385026738025,26.9375,0.0625,26.0,0.0,19
56,N,45.477398,9.234322,,,448.8294117647059,1870.0209558823524,-94.87647058823529,0.4756617647058821,,,16.705882352941178,2.0955882352941178,18
57,E,45.477398,9.234322,,,558.6588235294118,14.236323529411795,-93.15294117647058,0.16514705882353045,,,20.0,0.0,18
58,S,45.477398,9.234322,,,226.98333333333335,2494.490882352941,-97.73333333333333,0.06000000000000076,,,18.11111111111111,0.10457516339869281,12
59,W,45.477398,9.234322,,,558.4,86.34307692307723,-88.41428571428573,0.3490109890109914,,,19.857142857142858,0.13186813186813184,18
